date;peers;iterations;stage;n;mean;min;max;stddev
2026-08-19 09:18:48;1;100;total;725236;995454.950;725236.000;2000872.000;284022.574
2026-08-19 09:18:48;1;100;decaps;51939;64371.240;51939.000;204421.000;22812.703
2026-08-19 09:18:48;1;100;keygen;34644;41270.080;34644.000;140988.000;12427.956
2026-08-19 09:19:34;10;100;total;691092;1028006.840;691092.000;2192496.000;279350.207
2026-08-19 09:19:34;10;100;decaps;51051;67490.600;51051.000;216360.000;21558.259
2026-08-19 09:19:34;10;100;keygen;34782;41017.110;34782.000;71031.000;7737.988
2026-08-19 09:20:12;100;100;total;733590;1044540.000;733590.000;4185260.000;407764.413
2026-08-19 09:20:12;100;100;decaps;52279;66933.350;52279.000;121700.000;15353.459
2026-08-19 09:20:12;100;100;keygen;34554;40801.370;34554.000;127214.000;10378.661
2026-08-19 09:20:49;500;100;total;879635;1248703.000;879635.000;3627688.000;357355.777
2026-08-19 09:20:49;500;100;decaps;51709;70864.510;51709.000;190644.000;22151.832
2026-08-19 09:20:49;500;100;keygen;35337;47685.350;35337.000;166816.000;23006.456
2026-08-19 09:21:28;1000;100;total;1076368;1507870.500;1076368.000;2796377.000;373479.848
2026-08-19 09:21:28;1000;100;decaps;51849;62706.780;51849.000;141331.000;12947.283
2026-08-19 09:21:28;1000;100;keygen;35005;45002.220;35005.000;111642.000;16693.128
2026-08-19 09:22:29;3000;100;total;1636307;2738209.220;1636307.000;10913797.000;1103511.505
2026-08-19 09:22:29;3000;100;decaps;52340;66578.050;52340.000;136118.000;16587.489
2026-08-19 09:22:29;3000;100;keygen;34998;46509.980;34998.000;167835.000;22857.834
